Fecha:,12/11/2023 12:00,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Longitud,Latitud,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasóleo A,Precio gasóleo B,Precio gasóleo de uso marítimo,Rótulo,Horario
GIRONA,SANT FELIU DE GUÍXOLS,SANT FELIU DE GUIXOLS,17220,ZONA ESPORTIVA DEL PORT S/Nº,3.030528,41.773889,1.759,,1.720,,,CLUB NAUTIC SANT FELIU DE GUIXOLS,L-D: 24H
GIRONA,SELVA DE MAR (LA),SELVA DE MAR (LA) NUCLI,17489,MUELLE PESQUERO S/Nº,3.200253,42.340846,,,,799.000,,REPSOL,L-D: 24H
GIRONA,TORROELLA DE MONTGRÍ,TORROELLA DE MONTGRI,17258,ESPLANA DEL PORT S/N L'ESTARTIT,3.203972,42.052278,,,,909.000,,,X: 08:00-12:00; V: 08:00-12:00
GIRONA,TORROELLA DE MONTGRÍ,TORROELLA DE MONTGRI,17258,PASSEIG MARÍTIM S/N,,,1.884,,1.747,,,CLUB NAUTIC ESTARTIT,L: 08:00-17:45
HUELVA,PUNTA UMBRÍA,PUNTA UMBRIA,21100,MUELLE DEPORTIVO PUNTA UMBRIA S/N - AVDA. LA RIA S/N,-6.959417,37.181750,1.739,,1.749,,,CEPSA,L-V: 09:30-13:00 y 15:00-17:30; S: 09:30-13:00
LUGO,BURELA,BURELA,27880,MUELLE PESQUERO S/Nº,-7.254818,43.660537,,,,762.000,723.000,REPSOL,L-D: 24H
LUGO,RIBADEO,RIBADEO,27700,MUELLE PESQUERO S/Nº,-7.038707,43.532759,,,,827.000,,REPSOL,L-D: 24H
LUGO,VIVEIRO,CELEIRO,27863,MUELLE PESQUERO S/Nº,-7.595929,43.676370,,,,762.000,,REPSOL,L-D: 24H
MÁLAGA,FUENGIROLA,FUENGIROLA,29640,PUERTO PESQUERO-DEPORTIVO,-4.615750,36.542333,1.837,,1.833,809.000,,REPSOL,L-D: 24H
MÁLAGA,MANILVA,MANILVA,29691,PUERTO DEPORTIVO DE LA DUQUESA,,,1.876,,1.875,,,REPSOL,L-D: 24H
MÁLAGA,MARBELLA,MARBELLA,29600,PUERTO DEPORTIVO MARBELLA,-4.889944,36.505833,1.719,,1.749,,,ENERPUS,L-D: 24H
MÁLAGA,VÉLEZ-MÁLAGA,CALETA DE VELEZ,29751,PUERTO PESQUEROS/Nº,-4.069361,36.747611,1.825,,1.823,799.000,,REPSOL,L-D: 24H
MELILLA,MELILLA,MELILLA,52001,Pº MARITIMO ALCALDE RAFAEL GINEL S/N,-2.933278,35.288500,1.253,,1.254,,,SHELL,L-D: 08:00-22:00
MURCIA,ÁGUILAS,AGUILAS,30880,MUELLE PESQUERO S/N,-1.578720,37.402935,,,,794.000,,REPSOL,L-D: 24H
MURCIA,CARTAGENA,CARTAGENA,30202,PASEO ALFONSO XII,-0.981722,37.596583,1.569,,1.629,,,ROYMAGA PETROELOS,L-D: 24H
MURCIA,CARTAGENA,CARTAGENA,30202,MUELLE STA. LUCÍA S/Nº,-0.975942,37.597657,,,,794.000,,REPSOL,L-D: 24H
MURCIA,CARTAGENA,CABO DE PALOS,30370,MUELLE DE LA SAL S/Nº,-0.698720,37.630712,,,,834.000,,REPSOL,L-D: 24H
MURCIA,MAZARRÓN,MAZARRON,30870,MUELLE PESQUERO S/Nº,-1.255109,37.563768,,,,794.000,,REPSOL,L-D: 24H
MURCIA,MAZARRÓN,PUERTO DE MAZARRON,30860,PLAZA DEL MUELLE S/N,-1.266250,37.564000,1.795,,1.859,,,NINGUNO,L-D: 24H
MURCIA,SAN JAVIER,SAN JAVIER,30370,PUERTO TOMAS MAESTRE S/N,-0.743194,37.747639,1.699,,1.689,,,PALUSOIL S.L.U.,L: 08:30-18:30
PALMAS (LAS),ARRECIFE,ARRECIFE,35509,AV. OLOF PALME S/N,-13.537917,28.965028,1.535,,1.475,,,,L: 08:15-19:30
PALMAS (LAS),MOGÁN,MOGAN,35140,DIQUE SUR. PUERTO DE MOGAN,-15.764056,27.815861,1.339,,1.349,,,REPSOL,L-D: 09:00-13:00 y 15:00-17:50
PALMAS (LAS),SAN BARTOLOMÉ DE TIRAJANA,SAN BARTOLOME TIRAJANA,35106,CARRETERA GC-500 S/N (ANTIGUA CTRA. C-812) URBANIZACION PASITO BLANCO (VARADERO),-15.621667,27.746944,1.362,,1.348,,,DISA,L-D: 08:00-18:00
PALMAS (LAS),YAIZA,YAIZA,35570,C/ EL BERRUGO 2,-13.816639,28.857111,1.399,,1.399,,,MARINA RUBICON,L-D: 07:30-19:30
PALMAS (LAS),YAIZA,PUERTO CALERO,35570,LOS PANTALANES S/N,-13.705333,28.915833,1.410,,1.377,,,MARINA PUERTO CALERO,L-D: 08:15-19:45
PONTEVEDRA,BAIONA,BAIONA,36300,AVDA. MONTE REAL S/N,-8.845194,42.118750,1.409,,1.446,,,,L: 09:00-19:30
PONTEVEDRA,BAIONA,BAIONA,36300,RECINTO DEL PARADOR NACIONAL,-8.848459,42.120681,1.673,,1.723,,,REPSOL,L-D: 08:00-22:00
PONTEVEDRA,BUEU,BUEU,36930,MUELLE PESQUERO S/Nº,-8.785126,42.329376,,,1.697,793.000,,REPSOL,L-D: 24H
PONTEVEDRA,CAMBADOS,CAMBADOS,36630,MUELLE DE TRAGOVE S/Nº,-8.828182,42.518542,,,,797.000,,REPSOL,L-D: 24H
