Fecha:,12/11/2023 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,% bioalcohol,Precio biodiésel,% éster metílico,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Horario
ALBACETE,BONETE,BONETE,02691,AUTOVIA A-31 KM. 126,D,-1.331500,38.875861,12/11/2023 00:00,1.609,,,1.739,,1.649,1.699,,,,,,,,,,,REPSOL,L-D: 06:00-22:00
ALBACETE,BONETE,BONETE,02691,CR N-430 5663,I,-1.331611,38.876111,12/11/2023 00:00,1.609,,,1.739,,1.649,1.699,,,,,,,,,,,REPSOL,L-D: 06:00-22:00
ALBACETE,BONILLO (EL),BONILLO (EL),02610,CALLE CARRETERA MUNERA 2,D,-2.535056,38.953361,12/11/2023 00:00,1.579,,,1.689,,1.629,1.679,1.331,,,,,,,,,,REPSOL,S-D: 07:00-15:00
ALBACETE,CASAS DE JUAN NÚÑEZ,CASAS DE JUAN NUÑEZ,02151,AVDA. ALBACETE 33,D,-1.560857,39.100792,07/11/2023 09:39,1.669,,,,,1.599,,1.200,,,,,,,,,,GASOLINERAS DEL REY,L-D: 07:00-23:00
ALBACETE,CASAS DE VES,CASAS DE VES,02212,CARRETERA CASAS IBAÑEZ KM. 138,D,-1.332194,39.255139,11/11/2023 11:30,,,,,,,,1.170,,,,,,,,,,COOPERATIVA,L-V: 08:00-13:30 y 15:00-18:00
ALBACETE,CASAS-IBÁÑEZ,CASAS-IBAÑEZ,02200,AVDA. DEL VINO 10,D,-1.474107,39.291375,06/11/2023 11:31,,,,,,,,1.300,,,,,,,,,,CEPSA,L-D: 24H
ALBACETE,CASAS-IBÁÑEZ,CASAS-IBAÑEZ,02200,CARRETERA ALBACETE KM. 94,I,-1.477806,39.283944,06/11/2023 21:31,1.659,,,1.829,,1.699,1.759,1.389,,,,,,,,,,CEPSA,L-D: 07:00-21:00
ALBACETE,CAUDETE,CAUDETE,02660,AUTOVIA A-31 KM. 172,D,-0.933861,38.721917,10/11/2023 12:51,1.699,,,1.809,,1.669,1.769,,,,,,,,,,,BP OIL,L-V: 07:00-15:00
ALBACETE,CAUDETE,CAUDETE,02660,AVENIDA VALENCIA DE 16,N,-0.982111,38.708944,10/11/2023 14:05,1.689,,,1.839,,1.669,1.759,,,,,,,,,,,GALP,L-D: 06:00-22:00
ALBACETE,CAUDETE,CAUDETE,02660,CR N-344 DIRC.VALENCIA KM.  118.3,N,-0.943000,38.727472,10/11/2023 21:15,1.719,,,1.860,,1.689,1.789,,,,,,,,,,,BP PARGA I PETROL BAS BEL,L-D: 06:00-22:00
